,Name,City,Address,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
41,Сарика,Прилеп,"Прилеп, Мирче Ацев 128", ,"['вина - производство', 'вина - трговија', 'винарски визби']",071 278316,http://,https://www.instagram.com/sarikawinery/?fbclid=IwAR1CG3nvAfS_1x0Dub2A29kHAzyNjJYZkd2L0ULvSdlKIooFQpZ_VdIKWJU,https://www.facebook.com/sarikawinery/?locale=mk_MK,41.3439196,21.5594285
42,Вин арт,Скопје,"Скопје, Петар Поп Арсов 13-а/1",Работно време: Пон - Пет од 08:00 до 18:00 • Саб од 10:00 до 15:00,"['винотеки (винарници)', 'вина - трговија']",02 5511050,http://www.vinart.com.mk/,https://,https://,41.9958004,21.4169826
43,Етно Караула,Кочани,"Кочани, Пониква",Работно време: Пон - Нед од 08:00 до 01:00,"['мотели', 'винотеки (винарници)']",078 359120,http://,https://,https://,42.0348398,22.3557992
44,Буре,Битола,"Битола, Широк Сокак (Маршал Тито) 88",Работно време: Пон - Пет од 08:00 до 00:00 • Саб - Нед од 08:00 до 01:00,"['ресторани - пицерии', 'храна-дистрибуција', 'винотеки (винарници)']",047 225522,http://www.bure.com.mk/,https://,https://www.facebook.com/pages/BURE-pizza-bar/72572769166,41.0253394,21.336715
45,Вила Дојрана,Дојран,"Дојран, Партизанска 41", ,"['апартмани и приватни соби - изнајмување', 'винотеки (винарници)', 'базени за пливање']",070 999758,http://,https://,https://,41.1811923,22.722269
46,КМС Малерич,Кавадарци,"Кавадарци, с.Марена",Работно време: Пон - Саб од 08:00 до 16:00,"['инокс метали - трговија', 'винотеки (винарници)']",043 444888,http://maleric.com.mk/,https://,https://,41.4687873,22.0272806
47,Вардарска долина,Неготино,"Неготино, с.Курија", ,['винотеки (винарници)'],070 320867,http://www.vardarskadolina.mk/,https://,https://,41.5280258,22.0119598
48,Пуклавец пријатели,Неготино,"Неготино, с.Долни Дисан", ,['винотеки (винарници)'],070 252224,http://www.pfwineries.com/,https://,https://,41.4291019,22.0951754
49,ГД-Тиквеш,Кавадарци,"Кавадарци, Шишка 2",Работно време: Пон - Саб од 09:00 до 19:00 • Нед од 09:00 до 13:00,"['винотеки (винарници)', 'овошје - преработка', 'производство и трговија на големо', 'земјоделски задруги и здруженија']",043 415916,http://www.mk.gdtikveswinery.com/,https://www.instagram.com/gdtikveswinery/,https://,41.4388596,22.0190144
50,Фајн вајн,Скопје,"Скопје, Луј Пастер 5", ,['винотеки (винарници)'],071 256715,http://www.finewine.mk/,https://www.instagram.com/finewinemk/,https://www.facebook.com/FineWineMK/,41.993091,21.430158
51,Патче,Охрид,"Охрид, Цар Самоил 60", ,['винотеки (винарници)'],077 711014,http://,https://,https://,41.1122851,20.7964115
57,Имако Вино,Скопје,"Скопје, Перо Наков б.б.",Работно време: Пон - Пет од 07:30 до 15:30,"['винарски визби', 'вина - производство', 'вина - трговија', 'винотеки (винарници)']",02 2549051,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,41.996,21.48151
58,Езимит,Штип,"Штип, Маршал Тито, с.Лозово 5",Работно време: Пон - Пет од 07:30 до 15:30,"['винарски визби', 'вина - трговија']",078 222424,http://www.ezimit.mk/,https://www.instagram.com/ezimit/,https://,41.7755706980052,22.1811213169069
59,Изворно,Велес,"Велес, Никола Оровчанец 1", ,"['винотеки (винарници)', 'винарски визби']",077 901169,http://www.izvorno.com.mk/,https://,https://,41.6039851151595,21.6927892180678
60,Далвина,Струмица,"Струмица, с.Хамзали Босилово 9", ,"['винарски визби', 'вина - производство']",034 375578,http://,https://www.instagram.com/dalvina_winery/,https://www.facebook.com/dreamwines/,41.4901827953123,22.7447051853387
61,Парагон урбан вајнери,Скопје,"Скопје, Борис Трајковски (Првомајска) 62", ,"['вина - производство', 'винотеки (винарници)', 'винарски визби']",070 399703,http://,https://,https://,41.97517,21.45284
62,Сковин,Битола,"Битола, Широк Сокак (Маршал Тито) 79-а",Работно време: Пон - Пет од 09:00 до 21:00 • Саб од 09:00 до 14:00,['винотеки (винарници)'],047 282779,http://www.skovin.com.mk/,https://www.instagram.com/skovin_winery/?hl=en,https://www.facebook.com/SkovinVinarija,41.03047,21.33471
63,Мовино,Кавадарци,"Кавадарци, Рибарци 1-б", ,['винотеки (винарници)'],043 400731,http://www.movino.mk/,https://,https://,41.44153,22.00789
64,Рикомо,Штип,"Штип, К.Ј.Питу 23",Работно време: Пон - Пет од 12:00 до 19:00,"['винотеки (винарници)', 'гифт-шоп', 'киосци', 'трафики и тобако']",070 210431,http://,https://,https://,41.7379458067663,22.194058612112
65,Чифлик,Битола,"Битола, с.Брусник 2/17","Работно време: Пон - Сре , Чет , Нед од 08:00 до 00:00 • Пет - Саб од 08:00 до 01:00","['винотеки (винарници)', 'ресторани', 'хотели']",078 305369,http://,https://,https://,41.0322769279769,21.292795782447
66,Ено Бар,Скопје,"Скопје, бул.Илинден 160 лок.7", ,"['кафе-барови и кафе-клубови', 'винотеки (винарници)', 'ресторани']",02 3090100,http://www.doxmenu.com/eno-bar,https://www.instagram.com/oeno_wine_bar/,https://www.facebook.com/Oeno-Wine-Bar-Deli-313457949359614/,42.0081905482059,21.3939666174679
67,Де Ферментио,Делчево,"Делчево, Методија Митевски-Брицо 22", ,"['вина - производство', 'винотеки (винарници)']",070 945499,http://,https://,https://,41.96673,22.77719
68,Винарија Попов,Кавадарци,"Кавадарци, Сопот",Работно време: Пон - Пет од 07:00 до 16:00,"['винарски визби', 'вина - производство']",043 551001,http://www.popovwinery.com.mk/,https://,https://,41.4921819961067,22.02118335845
69,Тристо Винари,Велес,"Велес, с.Сујаклари",Работно време: Пон - Пет од 08:00 до 15:00,"['вина - производство', 'винарски визби', 'винотеки (винарници)']",078 389958,http://www.tristo.com.mk/,https://,https://www.facebook.com/tristo.winery/,41.788747,21.790887
70,Стоби Винарија,Велес,"Велес, Автопат, с.Градско 2",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'ресторани']",043 215800,http://www.stobiwinery.mk/,https://,https://www.facebook.com/StobiWinery,41.5817400895422,21.9363225665861
71,Филовски винарија - Дирекција,Скопје,"Скопје, 11-ти Октомври 23-а-1/1",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']",02 3133394,http://www.filovski.com.mk/,https://,https://www.facebook.com/Filovski.Family.Winery/,41.9923233407209,21.4343303003969
72,Лазар Винарија,Велес,"Велес, Археолошки Локалитет Стоби Градско", ,"['винарски визби', 'вина - производство', 'вина - трговија', 'апартмани и приватни соби - изнајмување', 'ресторани']",070 315800,http://www.lazarwinery.mk/,https://,https://,41.5466326234795,21.9724597681749
73,Дивино Винарија,Скопје,"Скопје, бул.Македонска Косовска бригада 30-б", ,"['вина - производство', 'пијалаци - алкохолни - производство', 'винарски визби']",071 304335,http://,https://www.instagram.com/divino.winery/?fbclid=IwAR3ztTjuyy1fzFLpy6Jm17AOpU-liG5QW-MvZmuhZ9Su2YOzLX,https://,41.995628855452,21.4275876228614
